ID,Time,Angle
0f,2023-09-05 14:49:51,207.630615234375
0f,2023-09-05 14:49:52,224.879150390625
0f,2023-09-05 14:49:53,222.3358154296875
0f,2023-09-05 14:49:54,223.1378173828125
0f,2023-09-05 14:49:55,222.9180908203125
0f,2023-09-05 14:49:56,221.1053466796875
0f,2023-09-05 14:49:57,220.62744140625
0f,2023-09-05 14:49:58,219.83642578125
0f,2023-09-05 14:49:59,220.4736328125
0f,2023-09-05 14:50:00,220.352783203125
0f,2023-09-05 14:50:01,219.979248046875
0f,2023-09-05 14:50:02,220.58349609375
0f,2023-09-05 14:50:03,222.3797607421875
0f,2023-09-05 14:50:04,222.901611328125
0f,2023-09-05 14:50:05,222.978515625
0f,2023-09-05 14:50:06,223.055419921875
0f,2023-09-05 14:50:07,223.30810546875
0f,2023-09-05 14:50:08,221.85791015625
0f,2023-09-05 14:50:09,221.2042236328125
0f,2023-09-05 14:50:10,221.94580078125
0f,2023-09-05 14:50:11,222.2039794921875
0f,2023-09-05 14:50:12,219.6441650390625
0f,2023-09-05 14:50:13,221.143798828125
0f,2023-09-05 14:50:14,220.704345703125
0f,2023-09-05 14:50:15,220.506591796875
0f,2023-09-05 14:50:16,220.6329345703125
0f,2023-09-05 14:50:17,220.84716796875
0f,2023-09-05 14:50:18,213.1787109375
0f,2023-09-05 14:50:19,217.781982421875
0f,2023-09-05 14:50:20,212.530517578125
0f,2023-09-05 14:50:21,210.7232666015625
0f,2023-09-05 14:50:22,182.757568359375
0f,2023-09-05 14:50:23,216.265869140625
0f,2023-09-05 14:50:24,216.5185546875
0f,2023-09-05 14:50:25,218.397216796875
0f,2023-09-05 14:50:26,218.572998046875
0f,2023-09-05 14:50:27,217.79296875
0f,2023-09-05 14:50:28,217.8643798828125
0f,2023-09-05 14:50:29,218.6773681640625
0f,2023-09-05 14:50:30,211.9317626953125
0f,2023-09-05 14:50:31,215.3485107421875
0f,2023-09-05 14:50:32,228.0267333984375
0f,2023-09-05 14:50:33,195.6610107421875
0f,2023-09-05 14:50:34,200.665283203125
0f,2023-09-05 14:50:35,201.81884765625
0f,2023-09-05 14:50:36,188.712158203125
0f,2023-09-05 14:50:37,189.4207763671875
0f,2023-09-05 14:50:38,206.03759765625
0f,2023-09-05 14:50:39,213.7445068359375
0f,2023-09-05 14:50:40,208.509521484375
0f,2023-09-05 14:50:41,207.9217529296875
0f,2023-09-05 14:50:42,208.5260009765625
0f,2023-09-05 14:50:43,205.0762939453125
0f,2023-09-05 14:50:44,205.2520751953125
0f,2023-09-05 14:50:45,205.0872802734375
0f,2023-09-05 14:50:46,205.0103759765625
0f,2023-09-05 14:50:47,205.5596923828125
0f,2023-09-05 14:50:48,203.961181640625
0f,2023-09-05 14:50:49,199.3194580078125
0f,2023-09-05 14:50:50,199.7589111328125
0f,2023-09-05 14:50:51,200.1434326171875
0f,2023-09-05 14:50:52,210.838623046875
0f,2023-09-05 14:50:53,206.1474609375
0f,2023-09-05 14:50:54,204.7576904296875
0f,2023-09-05 14:50:55,205.9002685546875
0f,2023-09-05 14:50:56,209.3994140625
0f,2023-09-05 14:50:57,179.329833984375
0f,2023-09-05 14:50:58,124.3267822265625
0f,2023-09-05 14:50:59,161.993408203125
0f,2023-09-05 14:51:00,222.0611572265625
0f,2023-09-05 14:51:01,332.9022216796875
0f,2023-09-05 14:51:02,315.3900146484375
0f,2023-09-05 14:51:03,329.6282958984375
0f,2023-09-05 14:51:04,339.8455810546875
0f,2023-09-05 14:51:05,335.511474609375
0f,2023-09-05 14:51:06,299.06982421875
0f,2023-09-05 14:51:07,268.824462890625
0f,2023-09-05 14:51:08,228.8397216796875
0f,2023-09-05 14:51:09,331.029052734375
0f,2023-09-05 14:51:10,19.171142578125
0f,2023-09-05 14:51:11,48.856201171875
0f,2023-09-05 14:51:12,6.427001953125
0f,2023-09-05 14:51:13,7.9925537109375
0f,2023-09-05 14:51:14,340.4443359375
0f,2023-09-05 14:51:15,345.1190185546875
0f,2023-09-05 14:51:16,346.8218994140625
0f,2023-09-05 14:51:17,14.732666015625
0f,2023-09-05 14:51:18,24.7576904296875
0f,2023-09-05 14:51:19,19.775390625
0f,2023-09-05 14:51:20,22.6483154296875
0f,2023-09-05 14:51:21,34.9420166015625
0f,2023-09-05 14:51:22,30.60791015625
0f,2023-09-05 14:51:23,31.9647216796875
0f,2023-09-05 14:51:24,31.92626953125
0f,2023-09-05 14:51:25,26.2078857421875
0f,2023-09-05 14:51:26,24.7796630859375
0f,2023-09-05 14:51:27,359.329833984375
0f,2023-09-05 14:51:28,345.4925537109375
0f,2023-09-05 14:51:29,319.0155029296875
0f,2023-09-05 14:51:30,302.9534912109375
0f,2023-09-05 14:51:31,271.571044921875
0f,2023-09-05 14:51:32,279.6185302734375
0f,2023-09-05 14:51:33,328.07373046875
0f,2023-09-05 14:51:34,338.126220703125
0f,2023-09-05 14:51:35,334.8468017578125
0f,2023-09-05 14:51:36,329.6063232421875
0f,2023-09-05 14:51:37,345.1080322265625
0f,2023-09-05 14:51:38,36.397705078125
0f,2023-09-05 14:51:39,47.625732421875
0f,2023-09-05 14:51:40,327.271728515625
